brand_name,instagram,website,segment,style_fields,substyles,key_categories,best_for,visual_code,source,status,verified_at
12 STOREEZ,@12storeez,,high,classic; natural,minimalism; quiet_luxury,трикотаж; пальто; брюки; платья,,"лаконичный, статусный",гид-насмотренность,проверить,
2MOOD,@2moodstore,,middle,natural; drama,smart_casual,casual; костюмы; верх,,городской,гид-насмотренность,проверить,
Akhmadullina Dreams,@akhmadullina_dreams,,high,romance; drama,lady_like,платья; принты; выход,,"яркий, женственный",гид-насмотренность,проверить,
Arny Praht,,,high,classic; natural,,пальто; брюки,,минимал-база,brand-matrix,проверить,
Befree,,,low,natural; drama,,деним; casual; тренды,,молодёжный,brand-matrix,проверить,
BOSCO,,,luxury,natural; classic,sport_chic,спорт премиум,,спорт-шик,brand-matrix,проверить,
Brusnika,,,high,classic; natural,,капсула; минимал,,минимал-премиум,brand-matrix,проверить,
Charmstore,@charmstore.club,,middle,romance; natural,,платья; блузы; трикотаж,,женственный,гид-насмотренность,проверить,
Charuel,,,high,classic,,костюмы; деловой элегант,,российские ткани,brand-matrix,проверить,
Ekonika,,,middle,classic; romance,,обувь; сумки,,базовая обувь,brand-matrix,проверить,
Emka,,,middle,classic,,деловой; футляр; размеры 42-56,,офисная классика,brand-matrix,проверить,
GATE31,,,middle,classic; natural,quiet_luxury,скандинавский минимал; база,,без принтов,brand-matrix,проверить,
Gloria Jeans,,,low,natural,,деним; база; трикотаж,,бюджетная база,brand-matrix,проверить,
I AM Studio,@iamstudio,,middle,natural; classic,minimalism,трикотаж; база; платья,,"минимал, база",гид-насмотренность,проверить,
IDOL,,,luxury,classic; drama,,кожа; меринос; кашемир,,классика+характер,brand-matrix,проверить,
Laroom,@laroombrand,,middle,classic; natural,minimalism,база; костюмы,,лаконичный,гид-насмотренность,проверить,
Lichi,,,middle,drama; romance,,трендовые фасоны; обувь,,разнообразие,brand-matrix,проверить,
Lime,,,middle,natural; classic,,город; верх; низ,,цена/качество,brand-matrix,проверить,
Love Republic,,,middle,romance; drama,,платья; кружево; силуэт,,женственность/выход,brand-matrix,проверить,
Lusio,@lusio_official,,middle,romance,lady_like,платья; костюмы; нарядное,,нарядный,гид-насмотренность,проверить,
MasterPeace,@masterpeace.masterpeace,,high,drama; romance,,эффектные фасоны; выход,,эффектный,гид-насмотренность,проверить,
Nina Donis,,,luxury,drama,deconstruction,авангард; показы,,независимый,brand-matrix,проверить,
Nude Line,,,high,natural; classic,,трикотаж; кашемир; меринос,,мягкая база,brand-matrix,проверить,
O'STIN,,,low,natural,,база; casual,,масс-маркет,brand-matrix,проверить,
Perles,,,high,romance; classic,,офис; выход; элегант,,женственный элегант,brand-matrix,проверить,
Present & Simple,@presentandsimple,,middle,natural; classic,smart_casual,база; трикотаж; костюмы,,"простой, чистый",гид-насмотренность,проверить,
Sela,,,low,natural; classic,,база; размерная сетка,,широкий ассортимент,brand-matrix,проверить,
TopTop,,,low,natural; drama,,тренды; обувь; аксессуары,,эклектика,brand-matrix,проверить,
True Red,,,high,classic; romance,,платья; костюмы; блузы,,современная классика,brand-matrix,проверить,
Ulyana Sergeenko,@ulyanasergeenkostore,,luxury,drama; romance,,couture; выход,,"кутюр, русский код",гид-насмотренность,проверить,
Unique Fabric,,,middle,romance; natural,,натуральные ткани; винтаж,,романтика/природа,brand-matrix,проверить,
Ushatava,@ushatava_life,,luxury,classic; natural,minimalism,унисекс; нестандартный крой,,"лаконичный, концептуальный",гид-насмотренность,проверить,
Yanina Couture,@yanina_couture,,luxury,romance; drama,,couture; вечернее,,вечерний кутюр,гид-насмотренность,проверить,
You Wanna,@youwanna_official,,middle,natural,sport_chic,трикотаж; деним; оверсайз,,modern casual,гид-насмотренность,проверить,
Zarina,,,low,classic; romance,,база; платья; костюмы,,вневременная классика,brand-matrix,проверить,
2Face On,@2face_on,,,,,,,,гид-насмотренность,проверить,
2Sides,@2sides.store,,,,,,,,гид-насмотренность,проверить,
404Notfound,@404notfound_official,,,,,,,,гид-насмотренность,проверить,
8Fridays,@8fridays,,,,,,,,гид-насмотренность,проверить,
Agreed,@agreed,,,,,,,,гид-насмотренность,проверить,
Alarusse,@alarusse,,,,,,,,гид-насмотренность,проверить,
Alexsanderarutynov,@alexsanderarutynov_official,,,,,,,,гид-насмотренность,проверить,
Alinecollection,@alinecollection.ru,,,,,,,,гид-насмотренность,проверить,
Annuko,@annuko.brand,,,,,,,,гид-насмотренность,проверить,
Aprellshop,@aprellshop,,,,,,,,гид-насмотренность,проверить,
Big Brooch,@big_brooch,,,,,,,,гид-насмотренность,проверить,
Bolshe Sense,@bolshe_sense,,,,,,,,гид-насмотренность,проверить,
Bycoccon,@bycoccon.ru,,,,,,,,гид-насмотренность,проверить,
Bymodno,@bymodno,,,,,,,,гид-насмотренность,проверить,
Chaika,@chaikastore,,,,,,,,гид-насмотренность,проверить,
Cinta Studio,@cinta_studio,,,,,,,,гид-насмотренность,проверить,
Cocos,@cocosmoskow,,,,,,,,гид-насмотренность,проверить,
Countrytextile,@countrytextile,,,,,,,,гид-насмотренность,проверить,
Dress Code Black Tie,@dress_code_black_tie,,,,,,,,гид-насмотренность,проверить,
Dresserie,@dresserie_brand,,,,,,,,гид-насмотренность,проверить,
Eclata Clothing,@eclata.clothing,,,,,,,,гид-насмотренность,проверить,
Elastic,@elastic_store,,,,,,,,гид-насмотренность,проверить,
Elen Dan,@elen_dan,,,,,,,,гид-насмотренность,проверить,
Ellada Kate,@ellada.kate,,,,,,,,гид-насмотренность,проверить,
Elliat,@elliat,,,,,,,,гид-насмотренность,проверить,
Enteleyofficial,@enteleyofficial,,,,,,,,гид-насмотренность,проверить,
Erist Store,@erist_store_,,,,,,,,гид-насмотренность,проверить,
Esterabneroofficial,@esterabneroofficial,,,,,,,,гид-насмотренность,проверить,
Eveesther,@eveesther_ru,,,,,,,,гид-насмотренность,проверить,
F O R M A,@f_o_r_m_a,,,,,,,,гид-насмотренность,проверить,
Faktura,@faktura_brand,,,,,,,,гид-насмотренность,проверить,
Fantome Design,@fantome_design,,,,,,,,гид-насмотренность,проверить,
Figura Activewear,@figura_activewear,,,,,,,,гид-насмотренность,проверить,
Hiss,@hiss_,,,,,,,,гид-насмотренность,проверить,
Ideal Basic Wear,@ideal.basic.wear,,,,,,,,гид-насмотренность,проверить,
Imocean,@imocean_moscow,,,,,,,,гид-насмотренность,проверить,
Inspireshop,@inspireshop.ru,,,,,,,,гид-насмотренность,проверить,
Iss Ju,@iss.ju,,,,,,,,гид-насмотренность,проверить,
Izetaofficial,@izetaofficial,,,,,,,,гид-насмотренность,проверить,
Journeyclothes,@journeyclothes_official,,,,,,,,гид-насмотренность,проверить,
Jurba Official,@jurba.official,,,,,,,,гид-насмотренность,проверить,
Larobemoskow,@larobemoskow,,,,,,,,гид-насмотренность,проверить,
Le Apt,@le.apt,,,,,,,,гид-насмотренность,проверить,
Les,@les_store,,,,,,,,гид-насмотренность,проверить,
Lesyanebo,@lesyanebo.brand,,,,,,,,гид-насмотренность,проверить,
Look In Mashkara,@look_in_mashkara,,,,,,,,гид-насмотренность,проверить,
Louvery,@louvery,,,,,,,,гид-насмотренность,проверить,
Lyna Plus,@lyna.plus,,,,,,,,гид-насмотренность,проверить,
Macrocosm,@macrocosm_store,,,,,,,,гид-насмотренность,проверить,
Magic Atelier,@magic_atelier,,,,,,,,гид-насмотренность,проверить,
Maisonbynude,@maisonbynude,,,,,,,,гид-насмотренность,проверить,
Maneken,@manekenbrand,,,,,,,,гид-насмотренность,проверить,
Marie by Marie,@marie_by_marie,,,,,,,,гид-насмотренность,проверить,
Mere Moscow,@mere.moscow,,,,,,,,гид-насмотренность,проверить,
Mesh N Flesh,@mesh_n_flesh,,,,,,,,гид-насмотренность,проверить,
Misa Bags,@misa_bags,,,,,,,,гид-насмотренность,проверить,
Moveli,@moveli_store,,,,,,,,гид-насмотренность,проверить,
My812,@my8i2,,,,,,,,гид-насмотренность,проверить,
Myseasons,@myseasons,,,,,,,,гид-насмотренность,проверить,
Namelazz,@namelazz,,,,,,,,гид-насмотренность,проверить,
Nn2Sisters,@nn2sisters,,,,,,,,гид-насмотренность,проверить,
No Name Not Same,@no.name.not.same,,,,,,,,гид-насмотренность,проверить,
Novembre,@novembre.brand,,,,,,,,гид-насмотренность,проверить,
Nuenue,@nuenue.store,,,,,,,,гид-насмотренность,проверить,
Nuself,@nuself_store,,,,,,,,гид-насмотренность,проверить,
Osome2Some,@osome2some,,,,,,,,гид-насмотренность,проверить,
Ottalie Shop,@ottalie_shop,,,,,,,,гид-насмотренность,проверить,
Outlaw Mo,@outlaw_mo,,,,,,,,гид-насмотренность,проверить,
P P S,@p.p.s.brand,,,,,,,,гид-насмотренность,проверить,
Pafigizm,@pafigizm_ru,,,,,,,,гид-насмотренность,проверить,
Patron Cashmere,@patron.cashmere,,,,,,,,гид-насмотренность,проверить,
Perrverrtt,@perrverrtt,,,,,,,,гид-насмотренность,проверить,
Posh Image,@posh_image,,,,,,,,гид-насмотренность,проверить,
Postmerideim,@postmerideim,,,,,,,,гид-насмотренность,проверить,
Pur Pur,@pur_pur_store,,,,,,,,гид-насмотренность,проверить,
Ricoco Shop,@ricoco_shop,,,,,,,,гид-насмотренность,проверить,
Rimarka,@rimarka_moscow,,,,,,,,гид-насмотренность,проверить,
Rockabi,@_rockabi,,,,,,,,гид-насмотренность,проверить,
Ruban,@ruban_fashion,,,,,,,,гид-насмотренность,проверить,
Ruel,@ruel.brand,,,,,,,,гид-насмотренность,проверить,
Saint Lovers,@saint.lovers_,,,,,,,,гид-насмотренность,проверить,
Sanchy Studio,@sanchy.studio,,,,,,,,гид-насмотренность,проверить,
Saynomore Moscow,@saynomore.moscow,,,,,,,,гид-насмотренность,проверить,
Select Studio,@select.studio,,,,,,,,гид-насмотренность,проверить,
Senko Outfits,@senko.outfits,,,,,,,,гид-насмотренность,проверить,
Simplify,@simplify,,,,,,,,гид-насмотренность,проверить,
So Easy,@soeasy_moscow,,,,,,,,гид-насмотренность,проверить,
Sobright Dress,@sobright_dress,,,,,,,,гид-насмотренность,проверить,
Sorelle Moskow,@sorelle.moskow,,,,,,,,гид-насмотренность,проверить,
Sorryiamnot,@sorryiamnot,,,,,,,,гид-насмотренность,проверить,
Studio 29,@studio_29,,,,,,,,гид-насмотренность,проверить,
Take Two,@take_two,,,,,,,,гид-насмотренность,проверить,
Teri Magazine,@teri.magazine,,,,,,,,гид-насмотренность,проверить,
The Clou,@the_clou,,,,,,,,гид-насмотренность,проверить,
The Puh,@the.puh,,,,,,,,гид-насмотренность,проверить,
The Rebel Design,@therebeldesign,,,,,,,,гид-насмотренность,проверить,
The Select,@the_select,,,,,,,,гид-насмотренность,проверить,
Themoon Stores,@themoon_stores,,,,,,,,гид-насмотренность,проверить,
To Be Blossom,@to_be_blossom,,,,,,,,гид-насмотренность,проверить,
Tres Concept,@tres_concept,,,,,,,,гид-насмотренность,проверить,
Varvara Design,@varvara_design,,,,,,,,гид-насмотренность,проверить,
Vellvet,@vellvet.store,,,,,,,,гид-насмотренность,проверить,
Victoria Andreyanova,@victoria_andreyanova_official,,,,,,,,гид-насмотренность,проверить,
Vivavoxofficial,@vivavoxofficial,,,,,,,,гид-насмотренность,проверить,
Wish By You,@wish.by.you,,,,,,,,гид-насмотренность,проверить,
You So,@you.so_brand,,,,,,,,гид-насмотренность,проверить,
Yougot Shop,@yougot.shop,,,,,,,,гид-насмотренность,проверить,
